Name	State	Former post	appointment-date	appointment-post	appointment-conditions	transfer-post	transfer-date	subsequent-transfer	promotion-post	promotion-date	named-post	named-date	subsequent-post	subsequent-date	subsequent-2	end-service	end-service-date	death-date	death-place	Decoration	Notes raw
Comte Louis Marogna	Germany	Président de Chambre au Tribunal de Mulhouse (Alsace)	1875-06-24	Conseiller, Cour d'appel												démissionnaire pour raisons de santé	1894-04-01			Ordre du Medjidieh de 1re classe.	
Charles Gescher	Germany	Juge de Cour en Lorraine	1894-05-07	Conseiller, Cour d'appel												considéré démissionnaire, par suite de l'état de guerre, le 31 Janvier 1915, à l'expiration de son contrat d'engagement	1915-01-31			Grand Cordon de l'Ordre du Nil.	
Dr Aloyse Lapenna	Austria-Hungary	Conseiller aulique de la Cour Suprême de Justice de Vienne	1875-06-24	Conseiller, Cour d'appel												démissionnaire pour reprendre service dans son pays,	1881-01-31			Ordre du Medjidieh de 1re classe.	
Alfred Bargehr	Austria-Hungary	Juge au Tribunal Mixte d'Alexandrie	1881-02-01	Conseiller, Cour d'appel	(Décret du 24 Janvier 1881)											démissionnaire pour raisons de santé	1886-02-20				
Antoine de Korizmics	Austria-Hungary	Conseiller de Section au Ministère de la Justice de Hongrie (Budapest)	1886-05-01	Conseiller, Cour d'appel												démissionnaire	1912-10-15				
Adalbert Bela de Zoltan	Austria-Hungary	Président du Tribunal Mixte d'Alexandrie	1912-10-16	Conseiller, Cour d'appel												considéré démissionnaire, par suite de l'état de guerre, le 31 Janvier 1915, à l'expiration de son contrat d'engagement	1915-01-31				
Emile Vercamer	Belgium	Juge au Tribunal Mixte du Caire	1895-12-12	Conseiller, Cour d'appel												démissionnaire	1912-01-31				
Ernest Eeman	Belgium	Procureur Général près les Juridictions Mixtes	1912-01-31	Conseiller, Cour d'appel												atteint par la limite d'âge	1924-10-31			Grand Cordon de l'Ordre du Nil.	
Constant Van Ackere	Belgium	Président du Tribunal Mixte d'Alexandrie	1924-11-01	Conseiller, Cour d'appel	(Décret du 2 Juin 1924)											actuellement en fonctions					
Don Enrique Garcia de Herreros	Spain	Président du Tribunal Mixte d'Alexandrie	1925-02-01	Conseiller, Cour d'appel	(en remplacement de M. Pereira e Cunha, portugais, démissionnaire)											actuellement en fonctions					
Victor Barringer	United States	jurisconsulte Washington, Attorney General de la Caroline du Nord	1875-06-24	Conseiller, Cour d'appel												démissionnaire	1894-01-31			Ordre de l'Osmanieh de 3me classe.	
Anthony M. Keiley	United States	Juge au Tribunal Mixte du Caire	1894-02-22	Conseiller, Cour d'appel												démissionnaire	1902-06-30			Ordre du Medjidieh de 2Ciobe,	
George Sherman Batcheller	United States	Juge au Tribunal Mixte du Caire	1902-10-27	Conseiller, Cour d'appel														1908-07-02		Ordre du Medjidien de 2e classe (en 1884).	
Somerville Pinckney Tuck	United States	Juge au Tribunal Mixte du Caire	1908-11-09	Conseiller, Cour d'appel												atteint par la limite d'âge	1920-10-31			Grand Olficier de l'Ordre du Nil.	
Jasper Yeates Brinton	United States	Conseiller Légiste du U. S. Shipping Board, ancien Substitut du Procureur Général des Etats-Unis, Pensylvania	1921-10-31	Conseiller, Cour d'appel												actuellement en fonctions					
Horace Aristide Letourneux	France	Conseiller à la Cour d'Appel d'Alger.	1876-02-08	Conseiller, Cour d'appel												démissionnaire	1881-01-31				
Maurice Jean Joseph Bellet	France	Juge au Tribunal Mixte d'Alexandrie	1879-06-15	Cour d'appel (Conseiller suppléant)							Conseiller titulaire	1884-05-19				démissionnaire	1902-11-01			Ordre du Medjidieh de 1re classe,	Conseiller titulaire le 19 Mai 1814,
Némorin Viollaud	France	Conseiller à la Cour d'Appel d'Orléans	1881-02-02	Conseiller, Cour d'appel	(en remplacement de M. Letourneux)											démissionnaire	1881-06-25				
Georges Martin-sarzeaud	France	Juge au Tribunal Mixte du Caire	1884-06-27	Conseiller, Cour d'appel												démissionnaire	1887-07-30				
François Christol de Bernardy de Sigoyer	France	Avocat Général près les Juridictions Mixtes	1889-02-02	Conseiller, Cour d'appel												démissionnaire	1906-11-01			Ordre de l'Osmanieh de ame classe.	
Casimir Prunieres	France	Président du Tribunal Mixte du Caire	1906-11-29	Conseiller, Cour d'appel												démissionnaire	1912-10-15				
Francis Guillaume Marie Laloe	France	Vice-Président du Tribunal Mixte du Caire	1912-10-16	Conseiller, Cour d'appel												atteint par la limite d'âge	1922-10-31			Grand Cordon de l'Ordre du Nil.	
Bernard Favenc	France	Juge au Tribunal Mixte d'Alexandrie	1922-11-15	Conseiller, Cour d'appel												actuellement en fonctions					
John Scott	Great Britain	avocat à Alexandrie	1875-06-24	Conseiller, Cour d'appel												démissionnaire	1882-09-01				
Herbert A. Hills	Great Britain	Juge au Tribunal Mixte d'Alexandrie	1882-10-30	Conseiller, Cour d'appel												démissionnaire	1904-02-01			Ordre du Medjidieh de ame classe.	
Lionel Sandars	Great Britain	Juge au Tribunal Mixte d'Alexandrie	1904-02-01	Conseiller, Cour d'appel														1916-03-09			
Herbert Welch Halton	Great Britain	Président du Tribunal Mixte du Caire	1916-03-15	Conseiller, Cour d'appel							Vice-Président de la Cour d'Appel Indigène	1916-10-24									nommé Vice-Président de la Cour d'Appel Indigène le 24 Octobre 1916.
Ralph Bertie Peter Cator	Great Britain	Président de la Cour Suprême de S.M. Britannique pour l'Egypte et de la Cour des Prises Britanniques en Egypte	1916-11-07	Conseiller, Cour d'appel												actuellement en fonctions					
Richard Augustus Vaux	Great Britain	Juge au Tribunal Mixte d'Alexandrie	1920-12-15	Conseiller, Cour d'appel	(au poste laissé vacant par la retraite de M. le Président Larcher, portugais)											actuellement en fonctions					
Alex. Cockburn Mc Barnet	Great Britain	Conseiller à la Cour d'Appel Indigène	1920-12-16	Conseiller, Cour d'appel	(au poste laissé vacant par la retraite de M. russe)											actuellement en fonctions					
Emmanuel Antoniadis	Greece	Juge au Tribunal Mixte d'Alexandrie	1879-06-15	Cour d'appel (Conseiller suppléant)							Conseiller titulaire	1884-05-19				démissionnaire	1906-11-01			Ordre de l'Osmanieh de 2me classe.	Conseiller titulaire le 19 Mai 1884
André Pangalos	Greece	Juge au Tribunal Mixte d'Alexandrie	1906-12-16	Conseiller, Cour d'appel												démissionnaire (lettre du 14 Mai),	1907-10-31	1907-08-08	Athènes		
Michel Kebedgy	Greece	Professeur à l'Université de Berne (Suisse)	1907-12-19	Conseiller, Cour d'appel												démissionnaire	1912-01-05				
Nicolas Cambas	Greece	Batonnier de l'Ordre des Avocats près les Juridictions Mixtes	1912-01-31	Conseiller, Cour d'appel							élu Vice-Président de la Cour d'Appel Mixte	1922-11-06	Président	1924-10-27		actuellement en fonctions					
Giovanni Giaccone	Italy	Conseiller de Cour d'Appel en Italie	1875-06-24	Conseiller, Cour d'appel												démissionnaire	1894-10-31	1905-05-29	Florence	Ordre du Medjidieh de 1re classe.	
Giuseppe Moriondo	Italy	Conseiller Khédivial, ancien Juge au Tribunal Mixte d'Alexandrie	1894-10-31	Conseiller, Cour d'appel														1911-12-12	Alexandrie.		
Pietro Bernardi	Italy	Conseiller Khédivial, ancien Juge au Tribunal Mixte d'Alexandrie	1912-01-25	Conseiller, Cour d'appel												atteint par la limite d'âge	1921-10-31			Grand Cordon de l'Ordre du Nil.	
Giovanni Baviera	Italy	Conseiller à la Cour de Cassation de Rome, ancien Juge au Tribunal Mixte du Caire	1922-03-06	Conseiller, Cour d'appel												actuellement en fonctions					
Michaël Hansson	Norway	Juge au Tribunal Mixte d'Alexandrie	1915-04-13	Conseiller, Cour d'appel	(à l'un des postes laissés vacants par le départ des magistrats austro-allemands)						élu Vice-Président de la Cour d'Appel Mixte	1924-10-27				actuellement en fonctions					
Albert de Souza Larcher	Portugal	Juge au Tribunal Mixte d'Alexandrie	1902-12-04	Conseiller, Cour d'appel	(en remplacement de M. Bellet,  français)											atteint par la limite d'âge	1920-10-31			Grand Cordon de l'Ordre du Nil.	
Manoël Augusto Pereira e Cunha	Portugal	Président du Tribunal Mixte d'Alexandrie	1921-11-30	Conseiller, Cour d'appel	(à la suite du rétablissement au Budget du 10me poste de Conseiller étranger laissé vacant par le départ, en 1915, des magistrats austro allemands)											démissionnaire	1925-01-31			Grand Officier de l'Ordre du Nil.	
Alexis Koumani	Russia	Conseiller d'Etat de S.M. l'Empereur de toutes les Russies	1875-06-24	Conseiller, Cour d'appel												démissionnaire	1875-07-11				
Nicolas D'abaza	Russia	Conseiller à la Cour d'Appel de Tiflis, attaché au Ministère de la Justice	1876-03-30	Conseiller, Cour d'appel												atteint par la limite d'âge	1920-10-31			Grand Officier de l'Ordre du Nil.	
Mohamed Cadry Pacha	Egypt	Chef du Bureau de Traduction au Ministère des Affaires Etrangères, charge de la codification du Statut Personnel, Rite Hanafite	1875-06-24	Conseiller, Cour d'appel							Ministre de la Justice	1881-09-14								Mirmiran (Pacha)	nomme Ministre de la Justice le 14 Septembre 1881
Abdallah El Said Bey	Egypt	President du Tribunal de Commerce d'Alezandrie	1875-06-24	Conseiller, Cour d'appel														1876-01-22	Alezandrie,		
Aly Riza Bey	Egypt	President du Tribunal de Commerce du Caire	1875-06-24	Conseiller, Cour d'appel														1882-09-08	Alexandrie,		
Hadjadour Bey	Egypt	President du Tribunal de Commerce du Caire	1875-09-24	Conseiller, Cour d'appel														1876-07-01			
Ahmed Rasseiki Bey	Egypt	Directeur du «Journal Officiel El Wakawiec	1876-02-16	Conseiller, Cour d'appel														1885-08-12			
Aly Ibrahim Bey	Egypt	Juge au Tribunal Mixte d'Alexandrie	1876-10-18	Conseiller, Cour d'appel							Ministre de l'Instruction Publique	1879-08-18									nommé Ministre de l'Instruction Publique le 18 Aodt 1879.
Hammad Bey	Egypt	Juge au Tribunal Mixte du Caire	1879-10-29	Conseiller, Cour d'appel												admis à faire valoir ses droits à la retraite	1901-02-01				
Mohamed Chimy Bey	Egypt	Juge au Tribunal Mixte d'Alexandrie	1881-10-26	Conseiller, Cour d'appel														1885-12-15			
Mohamed Cadry Pacha	Egypt	Vice-Président de la Commission chargée de la réorganisation des Tribunaux Indigènes	1882-10-11	Conseiller, Cour d'appel							Ministre de l'Instruction Publique	1883-05-24									nommé Ministre de l'Instruction Publique le 24 Mai 1883.
Wacyf Azmy Pacha	Egypt	Président honoraire du Tribunal Mixte du Caire	1883-05-29	Conseiller, Cour d'appel														1898-11-23	Alexandrie.		
Saied Efnaoui	Egypt	Juge au Tribunal Mixte d'Alexandrie	1885-12-26	Conseiller, Cour d'appel												admis à faire valoir ses droits à la retraite	1888-02-01				
Animed Hamdi	Egypt	Juge au Tribunal Mixte du Caire	1886-02-09	Conseiller, Cour d'appel												admis à faire valoir ses droits à la retraite	1889-10-23				
Abdel Kader Bey	Egypt	Juge au Tribunal Mixte du Caire	1888-03-01	Conseiller, Cour d'appel												admis à faire valoir ses droits à la retraite	1894-06-13			Mirmiran (Pacha). A obtenu le titre de Président honoraire du Tribunal Mixte de Mansourah, décédé le 28 Août 1898,	
Emine Sid Ahmed Bey	Egypt	Vice-Président de la Cour d'Appel Indigène	1889-10-23	Conseiller, Cour d'appel							Sous-Secrétaire d'Etat au Ministère de la Justice	1893-03-02								Mirmiran (Pacha),	nommé Sous-Secrétaire d'Etat au Ministère de la Justice le 2 Mars 1893
Aly Fakhry Bey	Egypt	Chef de Parquet près les Tribunaux Indigènes de la Basse-Egypte. Inspecteur au contrôle des Tribunaux Indigenes	1893-04-04	Conseiller, Cour d'appel														1906-06-10	Alexandrie.		
Garabed Reizian Bey	Egypt	Juge au Tribunal Mixte d'Alexandrie	1894-06-21	Conseiller, Cour d'appel														1903-11-19	Alexandrie.		
Youssouf Wahba Bey	Egypt	Directeur des Services Indigènes au Ministère de la Justice	1895-12-12	Conseiller, Cour d'appel	(au nouveau siège créé à cette date)						Ministre des Affaires Etrangères	1912-04-15									nommé Ministre des Affaires Etrangères le 15 Avril 1912.
Ismail Serri	Egypt	Juge au Tribunal Mixte du Caire	1899-01-05	Conseiller, Cour d'appel														1914-04-01	Alexandrie.		
Emine Hamdoullah Pacha	Egypt	Procureur Général près les Tribunaux Indigenes	1901-02-12	Conseiller, Cour d'appel												démissionnaire, par suite de son élection au Sénat Ottoman.	1914-04-16				
Artin Reizian Bey	Egypt	Juge au Tribunal Mixte d'Alexandrie	1903-12-13	Conseiller, Cour d'appel														1911-11-28	Alexandrie		
Youssouf Tcherakian Bey	Egypt	Juge au Tribunal Mixte d'Alexandrie	1906-01-01	Conseiller, Cour d'appel	(au nouveau siège créé à cette date)											atteint par la limite d'âge	1920-10-31	1920-11-10	Alexandrie		
Osman Mortada Bey	Egypt	Directeur des Services Indigènes et du Bureau de Traduction au Ministère de la Justice	1906-11-05	Conseiller, Cour d'appel							Directeur Général de la Daïra Khassa de S.A. le Khedive	1913-01-17									nommé Directeur Général de la Daïra Khassa de S.A. le Khedive le 17 Janvier 1913.
Abdelrahman Rida Bey	Egypt	Sous-Directeur Général de l'Administration des Wakfs	1911-12-09	Conseiller, Cour d'appel							Conseiller à la Cour d'Appel Indigène	1913-10-20								(Pacha).	nommé Conseiller à la Cour d'Appel Indigene le 20 Octobre 1913
Aly Mazloum Bey	Egypt	Juge au Tribunal Mixte d'Alexandrie	1912-04-26	Conseiller, Cour d'appel												atteint par la limite d'âge	1921-10-31	1923-03-27	Alexandrie	(Pacha).	
Fouad Gress Bey	Egypt	Juge au Tribunal Mixte du Caire	1913-02-26	Conseiller, Cour d'appel												actuellement en fonctions					
Moustapha Fathi Bey	Egypt	Juge au Tribunal Mixte du Caire	1913-11-06	Conseiller, Cour d'appel							Conseiller à la Cour d'Appel Indigène	1914-04-27								(Pacha).	nommé Conseiller à la Cour d'Appel Indigène le 27 Avril 1914
Hussein Darwiche Bey	Egypt	Directeur du Service des Mehkémés au Ministere de la Justice	1914-04-27	Conseiller, Cour d'appel							Conseiller à la Cour d'Appel Indigène	1915-05-04								(Pacha).	nommé Conseiller à la Cour d'Appel Indigene le 4 Mai 1915
Abdel Fattah Yehia Bey	Egypt	Substitut au Contentieux du Ministère de l'Intérieur	1914-04-27	Conseiller, Cour d'appel							Sous-Secrétaire d'Etat au Ministère de l'Intérieur	1919-06-19								(Pacha).	nommé Sous-Secrétaire d'Etat au Ministère de l'Intérieur le 19 Juin 1919
Soubhi Ghali Bey	Egypt	Juge au Tribunal Mixte d'Alexandrie	1914-04-27	Conseiller, Cour d'appel												actuellement en fonctions					
